,power,current,time
358,0.4,77.2,1809
359,0.4,77.2,1815
360,0.4,77.2,1820
361,0.4,77.2,1825
362,0.4,77.2,1830
363,0.4,77.2,1835
364,0.4,77.2,1840
365,0.4,77.2,1845
366,0.4,71.1,1850
367,0.37,71.1,1856
368,0.37,71.1,1861
369,0.37,71.1,1865
370,0.37,71.1,1870
371,0.37,71.1,1875
372,0.37,71.1,1880
373,0.37,71.1,1885
374,0.37,71.1,1890
375,0.37,71.1,1895
376,0.37,71.1,1901
377,0.37,71.1,1906
378,0.37,71.1,1911
379,0.37,71.1,1916
380,0.37,71.1,1921
381,0.37,71.1,1926
382,0.37,71.1,1931
383,0.37,71.1,1936
384,0.37,71.1,1942
385,0.37,71.1,1947
386,0.37,71.1,1952
387,0.37,71.1,1957
388,0.37,71.1,1961
389,0.37,71.1,1966
390,0.37,71.1,1971
391,0.37,71.1,1976
392,0.37,71.1,1981
393,0.37,71.1,1987
394,0.37,71.1,1992
395,0.37,71.1,1997
396,0.37,71.1,2002
397,0.37,71.1,2007
398,0.37,71.1,2012
399,0.37,71.1,2017
400,0.37,71.1,2022
401,0.37,71.1,2028
402,0.37,71.1,2033
403,0.37,71.1,2038
404,0.37,71.1,2043
405,0.37,71.1,2048
406,0.37,71.1,2053
407,0.37,71.1,2057
408,0.37,71.1,2062
409,0.37,71.1,2067
410,0.37,71.1,2073
411,0.37,71.1,2078
412,0.37,71.1,2083
413,0.37,71.1,2088
414,0.37,71.1,2093
415,0.37,71.1,2098
416,0.37,71.1,2103
417,0.37,71.1,2108
418,0.37,71.1,2114
419,0.37,71.1,2119
420,0.37,71.1,2124
421,0.37,71.1,2129
422,0.37,71.1,2134
423,0.37,71.1,2139
424,0.37,71.1,2144
425,0.37,71.1,2149
426,0.37,71.1,2154
427,0.37,71.1,2159
428,0.37,71.1,2164
429,0.37,71.1,2169
430,0.37,71.1,2174
431,0.37,71.1,2179
432,0.37,71.1,2184
433,0.37,71.1,2189
434,0.37,71.1,2194
435,0.37,71.1,2200
436,0.37,71.1,2205
437,0.37,71.1,2210
438,0.37,71.1,2215
439,0.37,71.1,2220
440,0.37,71.1,2225
441,0.37,71.1,2230
442,0.37,71.1,2235
443,0.37,71.1,2241
444,0.37,71.1,2246
445,0.37,71.1,2251
446,0.37,71.1,2255
447,0.37,71.1,2260
448,0.37,71.1,2265
449,0.37,71.1,2270
450,0.37,71.1,2275
451,0.37,71.1,2280
452,0.37,71.1,2286
453,0.37,71.1,2291
454,0.37,71.1,2296
455,0.37,71.1,2301
456,0.37,71.1,2306
457,0.37,71.1,2311
458,0.37,71.1,2316
459,0.37,71.1,2321
460,0.37,71.1,2327
461,0.37,71.1,2332
462,0.37,71.1,2337
463,0.37,71.1,2342
464,0.37,71.1,2347
465,0.37,71.1,2352
466,0.37,71.1,2356
467,0.37,71.1,2361
468,0.37,71.1,2366
469,0.37,71.1,2372
470,0.37,71.1,2377
471,0.37,71.1,2382
472,0.37,71.1,2387
473,0.37,71.1,2392
474,0.37,71.1,2397
475,0.37,71.1,2402
476,0.37,71.1,2407
477,0.37,71.1,2413
478,0.37,71.1,2418
479,0.37,71.1,2423
480,0.37,71.1,2428
481,0.37,71.1,2433
482,0.37,71.1,2438
483,0.37,71.1,2443
484,0.37,71.1,2448
485,0.37,71.1,2454
486,0.37,71.1,2458
487,0.37,71.1,2463
488,0.37,71.1,2468
489,0.37,71.1,2473
490,0.37,71.1,2478
491,0.37,71.1,2483
492,0.37,71.1,2488
493,0.37,71.1,2493
494,0.37,71.1,2499
495,0.37,71.1,2504
496,0.37,71.1,2509
497,0.37,71.1,2514
498,0.37,71.1,2519
499,0.37,71.1,2524
500,0.37,71.1,2529
501,0.37,71.1,2534
502,0.37,71.1,2540
503,0.37,71.1,2545
504,0.37,71.1,2550
505,0.37,71.1,2554
506,0.37,71.1,2559
507,0.37,71.1,2564
508,0.37,71.1,2569
509,0.37,71.1,2574
510,0.37,71.1,2579
511,0.37,71.1,2585
512,0.37,71.1,2590
513,0.37,71.1,2595
514,0.37,71.1,2600
515,0.37,71.1,2605
516,0.37,71.1,2610
517,0.37,71.1,2615
518,0.37,71.1,2620
519,0.37,71.1,2626
520,0.37,71.1,2631
521,0.37,71.1,2636
522,0.37,71.1,2641
523,0.37,71.1,2646
524,0.37,71.1,2651
525,0.37,71.1,2655
526,0.37,71.1,2660
527,0.37,71.1,2666
528,0.37,71.1,2671
529,0.37,71.1,2676
530,0.37,71.1,2681
531,0.37,71.1,2686
532,0.37,71.1,2691
533,0.37,71.1,2696
534,0.37,71.1,2701
535,0.37,71.1,2706
536,0.37,71.1,2712
537,0.37,71.1,2717
538,0.37,71.1,2722
539,0.37,71.1,2727
540,0.37,71.1,2732
541,0.37,71.1,2737
542,0.37,71.1,2742
543,0.37,71.1,2746
544,0.37,71.1,2752
545,0.37,71.1,2757
546,0.37,71.1,2762
547,0.37,71.1,2767
548,0.37,71.1,2772
549,0.452,87.0,2777
550,0.452,87.0,2782
551,0.452,87.0,2787
552,0.452,87.0,2792
553,0.452,87.0,2798
554,0.452,87.0,2803
555,0.452,87.0,2808
556,0.452,87.0,2813
557,0.452,87.0,2818
558,0.452,87.0,2823
559,0.452,87.0,2828
560,0.452,87.0,2832
561,0.452,87.0,2838
562,0.478,92.3,2843
563,0.478,92.3,2848
564,0.478,92.3,2853
565,0.478,92.3,2858
566,0.478,92.3,2863
567,0.478,92.3,2868
568,0.478,92.3,2873
569,0.478,92.3,2878
570,0.478,92.3,2884
571,0.478,92.3,2889
572,0.478,92.3,2894
573,0.478,92.3,2899
574,0.478,92.3,2904
575,0.738,143.3,2909
576,0.738,143.3,2914
577,0.738,143.3,2919
578,0.738,143.3,2925
579,0.738,143.3,2930
580,0.738,143.3,2935
581,0.738,143.3,2940
582,0.738,143.3,2945
583,0.738,143.3,2950
584,0.738,143.3,2955
585,0.738,143.3,2960
586,0.738,143.3,2966
587,0.738,143.3,2971
588,0.838,162.69998999999999,2976
589,0.838,162.69998999999999,2981
590,0.838,162.69998999999999,2986
591,0.838,162.69998999999999,2991
592,0.838,162.69998999999999,2996
593,0.838,162.69998999999999,3001
594,0.838,162.69998999999999,3006
595,0.838,162.69998999999999,3012
596,0.838,162.69998999999999,3017
597,0.838,162.69998999999999,3022
598,0.838,162.69998999999999,3027
599,0.838,162.69998999999999,3032
600,0.838,162.69998999999999,3037
601,0.838,162.8,3042
602,0.838,162.8,3047
603,0.838,162.8,3053
604,0.838,162.8,3058
605,0.838,162.8,3063
606,0.838,162.8,3068
607,0.838,162.8,3073
608,0.838,162.8,3078
609,0.838,162.8,3083
610,0.838,162.8,3088
611,0.838,162.8,3094
612,0.838,162.8,3099
613,0.838,162.8,3104
614,0.838,162.5,3109
615,0.838,162.5,3114
616,0.838,162.5,3119
