power,time
0.63000,123.30000,4585
0.62000,121.59999,4590
0.63000,123.60000,4595
0.63000,123.40000,4600
0.62200,122.80001,4605
0.62600,123.50000,4610
0.63000,123.30000,4615
0.63000,121.00000,4621
0.61600,123.50000,4626
0.63000,123.30000,4631
0.62600,122.60000,4636
0.62200,122.20000,4641
0.63000,123.50000,4646
0.63000,123.40000,4651
0.62000,123.40000,4656
0.63000,123.60000,4661
0.63000,123.00000,4667
0.62600,122.00000,4672
0.62200,123.40000,4677
0.63000,123.30000,4682
0.62000,121.80000,4687
0.62600,122.90000,4692
0.63000,123.60000,4697
0.63000,123.30000,4702
0.63800,112.60000,4708
0.57400,107.40000,4713
0.55000,119.00000,4718
0.61000,107.30000,4723
0.54400,146.19999,4728
0.74000,141.59999,4733
0.61600,120.90000,4738
0.63200,123.80000,4743
0.62600,123.20000,4749
0.62600,122.80001,4754
0.62000,123.10000,4759
0.62600,123.20000,4764
0.63000,121.50000,4769
0.62000,122.80001,4774
0.62600,123.20000,4779
0.62600,123.20000,4784
0.61600,121.09999,4789
0.63000,123.30000,4795
0.62600,123.20000,4800
0.62200,122.00000,4805
0.62200,123.30000,4810
0.63000,123.20000,4815
0.62600,120.80000,4820
0.61600,123.20000,4825
0.63000,123.10000,4830
0.62600,122.60000,4836
0.62000,121.70000,4841
0.62600,123.20000,4846
0.62600,123.20000,4851
0.62000,121.40000,4856
0.62600,123.20000,4861
0.62600,123.20000,4866
0.63000,121.09999,4871
0.61600,123.20000,4877
0.62600,123.30000,4882
0.63000,122.00000,4886
0.62200,122.30000,4891
0.63000,123.30000,4896
0.62600,123.20000,4901
0.61600,120.90000,4906
0.62600,123.20000,4911
0.62600,122.70000,4916
0.62600,121.80000,4922
0.62000,120.30000,4927
0.61600,119.30001,4932
0.61000,102.80000,4937
0.61000,119.60000,4942
0.53000,104.70000,4947
0.59600,116.40000,4952
0.59400,115.90000,4957
0.56400,127.89999,4963
0.65200,103.20000,4968
0.52800,103.90000,4973
0.53000,127.30000,4978
0.64800,127.89999,4983
0.64800,125.50000,4988
0.53400,104.60000,4993
0.53400,104.50000,4998
0.53000,103.80000,5003
0.52800,108.30001,5009
0.55000,114.20000,5014
0.58400,109.40000,5019
0.55800,110.30000,5024
0.56400,113.20000,5029
0.57600,107.90000,5034
0.55000,115.20000,5039
0.53400,104.80001,5044
0.61600,120.20000,5050
0.52800,103.09999,5055
0.61000,104.50000,5060
0.53400,119.80000,5065
0.61200,114.80000,5070
0.58600,110.90000,5075
0.56400,112.10000,5080
0.57400,107.70000,5085
0.54800,111.60000,5091
0.53400,105.10000,5096
0.59400,115.80001,5101
0.58400,114.50000,5106
0.53400,119.30001,5111
0.61000,105.60000,5116
0.53800,118.80001,5121
0.60600,118.00000,5126
0.60200,107.50000,5131
0.54800,118.90000,5137
0.61000,104.70000,5142
0.60600,118.50000,5147
0.56400,110.59999,5152
0.58000,113.50000,5157
0.59000,107.50000,5162
0.55000,116.30000,5167
0.59400,103.90000,5172
0.52800,119.40000,5178
0.61000,113.00000,5183
0.57600,121.09999,5188
0.61600,123.70000,5193
0.63000,123.30000,5198
0.62600,122.90000,5203
0.47800,93.60000,5208
0.48800,95.20000,5213
0.49200,93.70000,5219
0.48200,97.30001,5224
0.49800,95.40000,5229
0.48800,95.20000,5234
0.48800,93.00000,5238
0.47600,117.50000,5243
0.59400,138.59999,5248
0.75400,148.90000,5253
0.67800,133.39999,5258
0.77000,151.69999,5264
0.64600,152.59999,5269
0.77400,134.80000,5274
0.68200,146.69999,5279
0.75000,108.00000,5284
0.55000,112.50000,5289
0.57600,139.39999,5294
0.68400,136.09999,5299
0.73800,144.19999,5305
0.69400,137.09999,5310
0.66200,129.69999,5315
0.59400,149.39999,5320
0.76400,111.30000,5325
0.56600,118.90000,5330
0.60600,114.50000,5335
0.58400,120.30000,5340
0.60600,121.70000,5346
0.60000,117.70000,5351
0.60200,118.10000,5356
0.60200,117.80000,5361
0.58600,115.30001,5366
0.54800,117.59999,5371
0.60000,113.60000,5376
0.57600,107.80001,5381
0.55000,116.70000,5386
0.59600,112.00000,5392
0.57000,114.30000,5397
0.60200,119.70000,5402
1.08800,218.00000,5407
1.01200,201.50000,5412
0.95000,189.89999,5417
0.98400,186.69999,5422
0.93000,226.39999,5427
1.12800,221.29998,5433
1.10800,225.89999,5438
1.12800,221.19998,5443
1.10400,240.09999,5448
1.07400,213.89999,5453
1.02200,203.89999,5458
1.05200,208.09999,5463
0.84200,173.00000,5468
0.87400,177.89999,5474
0.89800,180.60000,5479
0.91000,177.80000,5484
0.89800,176.39999,5489
0.89200,181.00000,5494
0.91000,177.29998,5499
0.88200,174.89999,5504
0.89200,176.69999,5509
0.90200,178.69999,5514
0.89200,175.59999,5520
0.88800,176.59999,5525
0.89200,177.29998,5530
0.89400,175.00000,5535
0.88400,176.50000,5540
